,precision,recall,f1-score,support
0,0.9999092745727607,0.9943622176157594,0.9971280315375899,454434.0
2,0.15286114445778312,0.9794871794871794,0.2644513672551056,390.0
10,0.9997654600891251,0.9997263807997498,0.9997459200625427,25583.0
1,0.9904397705544933,0.9990356798457087,0.9947191550648103,2074.0
9,0.9960764134559722,0.9993976681151314,0.9977342768477455,46486.0
12,0.9907235621521335,0.996268656716418,0.9934883720930232,1072.0
14,0.9965957446808511,0.9982949701619779,0.9974446337308348,1173.0
13,1.0,1.0,1.0,1612.0
7,1.0,0.5,0.6666666666666666,2.0
11,1.0,0.8,0.8888888888888888,5.0
6,0.9938561845652311,0.9998423260067485,0.9968402684985773,31711.0
5,1.0,1.0,1.0,1173.0
4,0.828125,0.5162337662337663,0.636,308.0
3,0.22727272727272727,0.7142857142857143,0.3448275862068966,7.0
8,0.3231939163498099,0.7142857142857143,0.44502617801047123,119.0
accuracy,0.9950454738946815,0.9950454738946815,0.9950454738946815,0.9950454738946815
macro avg,0.8332546132100592,0.8807480182369244,0.8148640896575434,566149.0
weighted avg,0.9983617679339946,0.9950454738946815,0.9964516416027658,566149.0
